"id_comment","channel_name","category"
"UgxRen0lzaEL-_IsqVZ4AaABAg","Ada Lovecode - Didacticode","informatica"
"Ugx2js7mu8-KF6wOmXl4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgwTdizfBWdXb6Nj0iJ4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgzCgf6EfX2sJxSTfDp4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgzONWrxbBJSXgnQe-Z4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgxHvutO86MlKylKagp4AaABAg","Ada Lovecode - Didacticode","informatica"
"Ugz8IQz1qL3pwYhpMJp4AaABAg","Ada Lovecode - Didacticode","informatica"
"Ugxfvx6vCrkdeKwbp6R4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgzhY44qmABywxoWo514AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyDRszRFaL_-ARm4Kt4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyZu7bpI3AHFgU13lx4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgwUxg6c-z43kja2BtB4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyCrMYlLum7AOaF1qt4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyK_0VmdgIv7svN3cF4AaABAg","Ada Lovecode - Didacticode","informatica"
"Ugxy7SQ_HRzN7rblVk94AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyHg0hHhMr8UXNmEP14AaABAg","Ada Lovecode - Didacticode","informatica"
"UgxKq-64oj0xHt5MOol4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgwEkn42Kl0NYm8bZB14AaABAg","Ada Lovecode - Didacticode","informatica"
"Ugzvh2wMG0U0-gx4jEt4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgwKo0tiZpl14scgCjF4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgxMn43Vz-bHmDORuHh4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgxkIVHpEe00mdau-S54AaABAg","Ada Lovecode - Didacticode","informatica"
"UgzvkAlULZSzpAKijDB4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgzlzBojBg3uaOpbX6N4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyeGwxOwD9nhsi6svh4AaABAg","Ada Lovecode - Didacticode","informatica"
"Ugw3f7wfT7ODZKnd6sd4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgwjMw9bVSxsc4yj9d94AaABAg","Ada Lovecode - Didacticode","informatica"
"UgzqzkeaEt8wfrsC94V4AaABAg","Ada Lovecode - Didacticode","informatica"
"UgyxgLOrdOJsy8OZYZ14AaABAg","Ada Lovecode - Didacticode","informatica"
