epoch,accuracy,loss
0,0.6724967360496521,0.8510127663612366
1,0.8371540904045105,0.5059354901313782
2,0.8794428110122681,0.3904336392879486
3,0.9114248156547546,0.31716811656951904
4,0.9302892088890076,0.26072391867637634
5,0.9459679126739502,0.2124759554862976
6,0.9605847001075745,0.17208559811115265
7,0.9658316969871521,0.14167143404483795
8,0.974202036857605,0.10774487257003784
9,0.9753888249397278,0.09485602378845215
10,0.9720157384872437,0.12587225437164307
11,0.9362858533859253,0.19780778884887695
12,0.9810731410980225,0.07501880824565887
13,0.9821975231170654,0.0685495063662529
14,0.9779499173164368,0.08470039814710617
15,0.98225998878479,0.06610166281461716
16,0.9876944422721863,0.04617216810584068
17,0.9886313676834106,0.043392956256866455
18,0.9910675287246704,0.03803053870797157
19,0.9910675287246704,0.03754540532827377
20,0.9917546510696411,0.034094613045454025
21,0.9866325259208679,0.05015401542186737
22,0.9911924600601196,0.0365346297621727
23,0.992254376411438,0.03324908763170242
24,0.989380955696106,0.04028565436601639
25,0.9913798570632935,0.03628848120570183
26,0.9938784241676331,0.026944724842905998
27,0.9935036301612854,0.02605208195745945
28,0.9930039644241333,0.027328815311193466
29,0.9933162331581116,0.026590414345264435
30,0.9930039644241333,0.026381872594356537
31,0.9934411644935608,0.024757079780101776
32,0.9923168420791626,0.02886108309030533
33,0.9912549257278442,0.03066420368850231
34,0.9877569079399109,0.048992302268743515
35,0.9916297197341919,0.03323172405362129
36,0.9916921854019165,0.029221024364233017
37,0.9931288361549377,0.02376231923699379
38,0.9943156838417053,0.022242845967411995
39,0.992254376411438,0.029805926606059074
40,0.9941907525062561,0.023673269897699356
41,0.9923793077468872,0.026385502889752388
42,0.9936285614967346,0.02269774116575718
43,0.9940658211708069,0.020643573254346848
44,0.9952526688575745,0.01794068142771721
45,0.9935036301612854,0.02214738354086876
46,0.9931913018226624,0.022205308079719543
47,0.9945655465126038,0.022797970101237297
48,0.9945655465126038,0.022730452939867973
49,0.9927541017532349,0.022529033944010735
50,0.9851333498954773,0.07015020400285721
51,0.9919420480728149,0.029950551688671112
52,0.9945030808448792,0.023662222549319267
53,0.9926291704177856,0.02989964745938778
54,0.9940658211708069,0.022648930549621582
55,0.9937534928321838,0.024381300434470177
56,0.9928165674209595,0.02389070764183998
57,0.9943781495094299,0.020245591178536415
58,0.995002806186676,0.01794564537703991
59,0.9949403405189514,0.018930848687887192
60,0.9966269135475159,0.01495280396193266
61,0.9943156838417053,0.022178078070282936
62,0.9948778748512268,0.020447520539164543
63,0.9955649971961975,0.017560243606567383
64,0.9948154091835022,0.018987108021974564
65,0.9952526688575745,0.01892019994556904
66,0.9953151345252991,0.02110004425048828
67,0.9951277375221252,0.018179580569267273
68,0.9951277375221252,0.01769447885453701
69,0.9952526688575745,0.0172298401594162
70,0.9954400658607483,0.019240165129303932
71,0.9924417734146118,0.0313362255692482
72,0.9948778748512268,0.01922043040394783
73,0.9955649971961975,0.01730198971927166
74,0.996127188205719,0.016151946038007736
